sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N04594	1	Lane4	2332T2LT4	ILLUMINA	4	25N04594	25N04594_Lane4	fastqs/LOSH_011/L_25N04594_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04594_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6748695.789	6654183.955
25N04597	1	Lane4	2332T2LT4	ILLUMINA	4	25N04597	25N04597_Lane4	fastqs/LOSH_011/L_25N04597_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04597_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6030949.006	5935672.153
25N04598	1	Lane5	2332T2LT4	ILLUMINA	5	25N04598	25N04598_Lane5	fastqs/LOSH_010/L_25N04598_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04598_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	5665306.581	5596239.996
25N04599	1	Lane5	2332T2LT4	ILLUMINA	5	25N04599	25N04599_Lane5	fastqs/LOSH_010/L_25N04599_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04599_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	6436831.282	6326282.495
25N04600	1	Lane4	2332T2LT4	ILLUMINA	4	25N04600	25N04600_Lane4	fastqs/LOSH_011/L_25N04600_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04600_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6491124.128	6428903.954
25N04601	1	Lane4	2332T2LT4	ILLUMINA	4	25N04601	25N04601_Lane4	fastqs/LOSH_011/L_25N04601_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04601_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6266070.665	6181393.93
25N04602	1	Lane4	2332T2LT4	ILLUMINA	4	25N04602	25N04602_Lane4	fastqs/LOSH_011/L_25N04602_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04602_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6172539.758	6064205.876
25N04604	1	Lane5	2332T2LT4	ILLUMINA	5	25N04604	25N04604_Lane5	fastqs/LOSH_010/L_25N04604_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04604_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	9114134.692	8976628.607
25N04605	1	Lane5	2332T2LT4	ILLUMINA	5	25N04605	25N04605_Lane5	fastqs/LOSH_010/L_25N04605_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04605_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	8705570.001	8570843.969
25N04606	1	Lane5	2332T2LT4	ILLUMINA	5	25N04606	25N04606_Lane5	fastqs/LOSH_010/L_25N04606_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04606_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	4661968.57	4613874.996
25N04607	1	Lane4	2332T2LT4	ILLUMINA	4	25N04607	25N04607_Lane4	fastqs/LOSH_011/L_25N04607_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04607_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	3749648.001	3670909.051
25N26246	1	Lane4	2332T2LT4	ILLUMINA	4	25N26246	25N26246_Lane4	fastqs/LOSH_011/L_25N26246_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26246_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	7155243.88	7034451.696
25N26247	1	Lane4	2332T2LT4	ILLUMINA	4	25N26247	25N26247_Lane4	fastqs/LOSH_011/L_25N26247_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26247_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	8017183.065	7831527.51
25N26248	1	Lane4	2332T2LT4	ILLUMINA	4	25N26248	25N26248_Lane4	fastqs/LOSH_011/L_25N26248_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26248_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6864772.923	6680714.296
25N26250	1	Lane4	2332T2LT4	ILLUMINA	4	25N26250	25N26250_Lane4	fastqs/LOSH_011/L_25N26250_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26250_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6085487.849	5977654.183
25N26251	1	Lane4	2332T2LT4	ILLUMINA	4	25N26251	25N26251_Lane4	fastqs/LOSH_011/L_25N26251_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26251_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6194447.044	6090097.798
25N26252	1	Lane5	2332T2LT4	ILLUMINA	5	25N26252	25N26252_Lane5	fastqs/LOSH_010/L_25N26252_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N26252_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	2716854.568	2667366.154
25N26254	1	Lane4	2332T2LT4	ILLUMINA	4	25N26254	25N26254_Lane4	fastqs/LOSH_011/L_25N26254_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26254_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	7380424.871	7262596.411
25N26255	1	Lane4	2332T2LT4	ILLUMINA	4	25N26255	25N26255_Lane4	fastqs/LOSH_011/L_25N26255_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26255_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	7221406.238	7072754.494
25N26256	1	Lane4	2332T2LT4	ILLUMINA	4	25N26256	25N26256_Lane4	fastqs/LOSH_011/L_25N26256_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26256_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	7159370.846	7039318.263
25N26257	1	Lane4	2332T2LT4	ILLUMINA	4	25N26257	25N26257_Lane4	fastqs/LOSH_011/L_25N26257_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26257_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	5100996.908	4993084.61
25N26258	1	Lane4	2332T2LT4	ILLUMINA	4	25N26258	25N26258_Lane4	fastqs/LOSH_011/L_25N26258_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26258_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	7611584.882	7457515.798
25N26261	1	Lane4	2332T2LT4	ILLUMINA	4	25N26261	25N26261_Lane4	fastqs/LOSH_011/L_25N26261_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26261_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6689579.742	6577913.862
25N26267	1	Lane4	2332T2LT4	ILLUMINA	4	25N26267	25N26267_Lane4	fastqs/LOSH_011/L_25N26267_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26267_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6824294.93	6744954.627
25N26268	1	Lane4	2332T2LT4	ILLUMINA	4	25N26268	25N26268_Lane4	fastqs/LOSH_011/L_25N26268_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N26268_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	7477807.83	7350758.985
